country,symbol,tag
argentina,AAPL,apple-inc.
argentina,AGRO,agrometal
argentina,AIG,american-international-group-inc
argentina,ALUA,aluar
argentina,AMZN,amazon.com-ba
argentina,APBR,petrobras-on?cid=13303
argentina,APBRA,petrobras-pn?cid=962554
argentina,ARCO,arcos-dorados-holdings-inc?cid=1129360
argentina,ARNC,alcoa-inc.
argentina,AUSO,autopistas-sol
argentina,AUY,yamana-gold-drc
argentina,AXP,american-express-co-ba
argentina,BABA,alibaba-cedear
argentina,BAC,bank-of-america-corp
argentina,BBAR,frances
argentina,BBD,banco-bradesco
argentina,BBV,banco-bilbao-vizcaya-argentaria
argentina,BHIP,bco-hipotecari
argentina,BHP,bhp-ltd
argentina,BMA,macro
argentina,BMY,bristol-myers-squibb-co.
argentina,BOLT,boldt
argentina,BPAT,bco-patagonia
argentina,BRFS,brf
argentina,BRIO,b-santander-ri
argentina,BRIO6,banco-santander-rio-sa
argentina,BSBR,banco-santander-brasil-sa-ba
argentina,BYMA,bolsas-y-mercados-argentinos-sa
argentina,C,citigroup-incorporated
argentina,CADO,carlos-casado
argentina,CAPU,caputo
argentina,CAPX,capex
argentina,CARC,carboclor
argentina,CAT,caterpillar-inc-ar
argentina,CECO2,central-costan
argentina,CELU,celulosa
argentina,CEPU,central-puerto
argentina,CGPA2,camuzzi
argentina,CHL,china-mobile-ar
argentina,CL,colgate-palmolive-company
argentina,COLO,colorin
argentina,COME,comer-del-plat
argentina,CRES,cresud
argentina,CSCO,cisco-systems
argentina,CTIO,consultatio-s.
argentina,CVH,cablevision
argentina,CVX,chevron-corp-ar
argentina,DD,du-pont-de-nemours---company
argentina,DGCU2,ecogas
argentina,DISN,walt-disney-company
argentina,DOME,domec-compania-de-artefactos-domest
argentina,DYCA,dycasa
argentina,EDLH,edesal
argentina,EDN,edenor
argentina,EDSH,edesa
argentina,EMDE,empresa-distribuidora-electrica
argentina,ESME,bodegas-esmeralda-sa
argentina,FERR,ferrum
argentina,FIPL,fiplasto
argentina,GAMI,boldt-gaming
argentina,GARO,garovaglio
argentina,GBAN,gas-natural
argentina,GCLA,grupo-clarin
argentina,GE,general-electric-co.
argentina,GGAL,gp-fin-galicia
argentina,GGB,gerdau-drc
argentina,GOLD,barrick-gold
argentina,GOOGL,google-inc?cid=962559
argentina,GRIM,grimoldi
argentina,HARG,juan-minetti
argentina,HAVA,havanna-sa
argentina,HD,home-depot-inc.
argentina,HMC,honda-motor-co-ltd-ba
argentina,HPQ,hewlett-packard
argentina,IBM,international-business-machines
argentina,INAG,insumos-agroquimicos-sa
argentina,INDU,indupa
argentina,INTC,intel-ar
argentina,INTR,compania-introductora-buenos-aires
